Date,Time,Open,High,Low,Close,Volume
2023-01-03,09:30,11119.0,11130.5,11099.75,11100.75,6552
2023-01-03,09:31,11100.5,11101.25,11072.5,11090.75,6775
2023-01-03,09:32,11091.5,11111.0,11091.25,11102.5,3148
2023-01-03,09:33,11102.5,11135.5,11100.75,11134.25,3410
2023-01-03,09:34,11134.0,11141.75,11110.25,11113.75,3658
2023-01-03,09:35,11114.5,11128.75,11101.75,11109.25,3559
2023-01-03,09:36,11109.75,11113.75,11095.5,11102.25,2010
2023-01-03,09:37,11103.25,11133.0,11099.25,11126.75,1982
2023-01-03,09:38,11126.5,11134.75,11116.5,11122.75,1659
2023-01-03,09:39,11122.25,11153.5,11122.0,11150.0,3322
2023-01-03,09:40,11150.25,11164.75,11137.75,11162.75,3319
2023-01-03,09:41,11162.0,11178.5,11162.0,11171.25,3228
2023-01-03,09:42,11171.5,11182.0,11167.25,11169.75,2493
2023-01-03,09:43,11169.75,11177.25,11167.25,11167.75,1392
2023-01-03,09:44,11168.25,11174.25,11130.0,11137.5,3260
2023-01-03,09:45,11138.0,11146.75,11108.0,11113.0,4416
2023-01-03,09:46,11113.5,11127.0,11104.0,11125.0,2249
2023-01-03,09:47,11125.0,11130.5,11095.25,11099.0,3140
2023-01-03,09:48,11099.5,11105.75,11058.5,11061.0,4161
2023-01-03,09:49,11060.75,11073.5,11057.75,11069.25,3047
2023-01-03,09:50,11070.0,11084.5,11066.25,11079.5,2414
2023-01-03,09:51,11078.75,11082.0,11064.0,11078.0,2075
2023-01-03,09:52,11078.5,11078.75,11028.25,11028.25,3814
2023-01-03,09:53,11028.5,11040.5,11026.75,11036.25,2705
2023-01-03,09:54,11036.25,11039.0,11027.5,11033.5,1867
2023-01-03,09:55,11033.75,11043.25,11009.25,11027.5,3863
2023-01-03,09:56,11027.75,11036.5,11020.0,11023.0,1956
2023-01-03,09:57,11022.75,11028.75,11011.75,11012.25,1691
2023-01-03,09:58,11012.25,11012.25,10994.0,10999.5,2761
2023-01-03,09:59,10999.25,11009.0,10991.25,10993.75,1847
2023-01-03,10:00,10994.25,11011.0,10989.75,11010.0,3346
2023-01-03,10:01,11010.0,11017.0,10997.5,10999.5,3075
2023-01-03,10:02,10999.25,11002.0,10988.5,10994.5,2573
2023-01-03,10:03,10994.25,11003.25,10991.5,11001.25,1729
2023-01-03,10:04,11001.5,11005.25,10982.25,10985.75,2938
2023-01-03,10:05,10986.0,10997.75,10983.0,10995.75,1622
2023-01-03,10:06,10995.75,10999.25,10982.75,10983.25,1455
2023-01-03,10:07,10983.0,10998.25,10977.75,10994.0,1711
2023-01-03,10:08,10993.0,11001.25,10991.75,10996.75,1337
2023-01-03,10:09,10996.75,10997.25,10980.0,10983.5,1588
2023-01-03,10:10,10983.25,10987.25,10967.75,10987.25,2377
2023-01-03,10:11,10987.0,10987.0,10968.5,10981.25,1600
2023-01-03,10:12,10981.5,10982.5,10964.0,10970.5,2191
2023-01-03,10:13,10969.25,10972.75,10950.75,10953.5,1897
2023-01-03,10:14,10953.5,10960.5,10946.5,10955.5,1487
2023-01-03,10:15,10956.0,10966.0,10948.25,10964.5,1563
2023-01-03,10:16,10964.25,10964.75,10956.0,10963.0,749
2023-01-03,10:17,10963.0,10963.0,10950.5,10951.5,753
2023-01-03,10:18,10951.75,10953.25,10928.25,10936.5,2476
2023-01-03,10:19,10935.5,10941.75,10926.5,10929.25,1657
2023-01-03,10:20,10928.75,10946.75,10925.25,10946.0,1804
2023-01-03,10:21,10946.0,10948.5,10938.25,10938.75,1084
2023-01-03,10:22,10938.5,10942.5,10934.5,10940.0,946
2023-01-03,10:23,10941.0,10957.5,10939.25,10956.0,1335
2023-01-03,10:24,10956.0,10958.75,10947.25,10949.75,1040
2023-01-03,10:25,10950.25,10954.75,10944.75,10948.25,1018
2023-01-03,10:26,10949.0,10950.0,10936.0,10938.0,1491
2023-01-03,10:27,10937.5,10948.25,10936.75,10944.5,800
2023-01-03,10:28,10944.25,10944.25,10933.5,10935.75,808
2023-01-03,10:29,10935.5,10949.0,10932.75,10948.25,1094
2023-01-03,10:30,10948.5,10948.5,10916.0,10916.0,2421
2023-01-03,10:31,10916.0,10929.0,10913.5,10928.0,1379
2023-01-03,10:32,10927.5,10938.0,10920.25,10921.0,1826
2023-01-03,10:33,10921.25,10924.5,10913.25,10917.25,1280
2023-01-03,10:34,10917.25,10925.25,10915.0,10921.0,674
2023-01-03,10:35,10921.25,10934.5,10921.0,10931.25,1160
2023-01-03,10:36,10930.5,10932.75,10925.75,10929.5,757
2023-01-03,10:37,10928.25,10934.25,10925.25,10934.0,638
2023-01-03,10:38,10934.0,10943.25,10930.0,10943.0,916
2023-01-03,10:39,10942.5,10945.0,10934.75,10938.25,890
2023-01-03,10:40,10939.0,10953.25,10937.75,10953.25,1155
2023-01-03,10:41,10953.25,10956.75,10949.25,10952.5,1230
2023-01-03,10:42,10952.25,10954.75,10941.75,10946.75,945
2023-01-03,10:43,10947.0,10949.5,10939.5,10942.75,834
2023-01-03,10:44,10942.25,10948.0,10933.5,10935.0,764
2023-01-03,10:45,10935.5,10950.0,10933.25,10947.75,866
2023-01-03,10:46,10947.5,10963.75,10947.25,10961.75,1186
2023-01-03,10:47,10960.75,10962.5,10953.0,10955.5,710
2023-01-03,10:48,10956.25,10958.25,10949.0,10957.25,739
2023-01-03,10:49,10956.75,10960.0,10952.5,10954.75,447
2023-01-03,10:50,10955.0,10958.75,10943.25,10945.0,816
2023-01-03,10:51,10945.25,10947.25,10936.25,10938.5,1098
2023-01-03,10:52,10938.75,10947.25,10937.0,10946.75,915
2023-01-03,10:53,10947.5,10951.0,10938.75,10938.75,1012
2023-01-03,10:54,10939.25,10943.0,10929.25,10931.0,1217
2023-01-03,10:55,10930.75,10943.75,10929.75,10943.0,1249
2023-01-03,10:56,10942.25,10959.75,10942.25,10956.25,1466
2023-01-03,10:57,10956.75,10966.0,10955.5,10963.75,1372
2023-01-03,10:58,10963.25,10976.5,10963.0,10969.25,1967
2023-01-03,10:59,10969.75,10978.0,10967.25,10974.5,1301
2023-01-03,11:00,10975.0,10986.0,10973.75,10983.75,1871
2023-01-03,11:01,10983.75,10985.0,10974.0,10974.75,1477
2023-01-03,11:02,10974.75,10978.75,10967.75,10968.75,1328
2023-01-03,11:03,10969.0,10970.0,10960.25,10967.0,1595
2023-01-03,11:04,10966.75,10967.75,10953.0,10955.0,1376
2023-01-03,11:05,10954.75,10960.25,10951.0,10956.25,1173
2023-01-03,11:06,10956.5,10956.75,10947.25,10951.0,1073
2023-01-03,11:07,10950.75,10952.75,10944.0,10946.25,977
2023-01-03,11:08,10946.0,10953.75,10942.5,10948.25,1048
2023-01-03,11:09,10948.5,10949.75,10918.75,10920.0,2864
2023-01-03,11:10,10920.5,10925.0,10907.5,10921.25,3379
2023-01-03,11:11,10921.75,10925.5,10910.25,10914.0,1295
2023-01-03,11:12,10914.0,10918.5,10912.0,10915.5,1362
2023-01-03,11:13,10915.5,10916.0,10903.25,10906.0,1792
2023-01-03,11:14,10906.5,10908.0,10890.75,10899.0,2255
2023-01-03,11:15,10898.5,10907.5,10895.25,10901.0,1674
2023-01-03,11:16,10900.5,10905.75,10896.0,10898.75,1014
2023-01-03,11:17,10898.75,10906.5,10898.0,10905.75,1121
2023-01-03,11:18,10906.0,10915.5,10904.75,10914.5,1871
2023-01-03,11:19,10914.5,10916.0,10908.0,10910.0,1025
